suite,representative,feasible_worlds,initial_candidates,root_candidates,removed_by_root,exact_candidates,unsupported_survivors,identifiable_cells,freely_variable_cells,literal_queries,infeasible_queries,fixed_calls,gac_calls,factor_updates,deletions,branches,search_nodes,median_solver_us,root_domains,supported_domains
axis_2,618,15,24,14,10,14,0,4,1,5,0,6,1,70,12,0,0,2.554,1 4 4 3 2 5 7 7,1 4 4 3 2 5 7 7
axis_2,4941,1,24,8,16,8,0,8,0,5,0,6,1,75,16,0,0,2.143,1 1 1 1 2 4 1 4,1 1 1 1 2 4 1 4
axis_2,4861,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.043,2 1 1 1 1 4 1 4,2 1 1 1 1 4 1 4
axis_2,4942,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.114,2 1 1 1 2 4 1 4,2 1 1 1 2 4 1 4
axis_2,5023,1,24,8,16,8,0,8,0,4,0,5,1,65,16,0,0,1.993,2 1 1 1 4 4 1 4,2 1 1 1 4 4 1 4
axis_2,141,1,24,8,16,8,0,8,0,5,0,6,1,75,16,0,0,2.053,1 4 1 4 2 1 1 1,1 4 1 4 2 1 1 1
axis_2,61,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.033,2 4 1 4 1 1 1 1,2 4 1 4 1 1 1 1
axis_2,142,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.084,2 4 1 4 2 1 1 1,2 4 1 4 2 1 1 1
axis_2,223,1,24,8,16,8,0,8,0,4,0,5,1,65,16,0,0,1.993,2 4 1 4 4 1 1 1,2 4 1 4 4 1 1 1
axis_2,384,5,24,12,12,12,0,5,0,6,0,7,1,79,14,0,0,2.313,1 4 1 5 2 3 1 7,1 4 1 5 2 3 1 7
axis_2,304,5,24,12,12,12,0,5,0,6,0,7,1,78,14,0,0,2.293,2 4 1 5 1 3 1 7,2 4 1 5 1 3 1 7
axis_2,385,5,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.353,2 4 1 5 2 3 1 7,2 4 1 5 2 3 1 7
axis_2,466,5,24,12,12,12,0,5,0,5,0,6,1,69,14,0,0,2.243,2 4 1 5 4 3 1 7,2 4 1 5 4 3 1 7
axis_2,621,9,24,13,11,13,0,4,0,7,0,8,1,87,13,0,0,2.473,1 5 1 5 2 5 1 7,1 5 1 5 2 5 1 7
axis_2,541,9,24,13,11,13,0,4,0,7,0,8,1,86,13,0,0,2.394,2 5 1 5 1 5 1 7,2 5 1 5 1 5 1 7
axis_2,622,9,24,13,11,13,0,4,0,6,0,7,1,78,13,0,0,2.453,2 5 1 5 2 5 1 7,2 5 1 5 2 5 1 7
axis_2,703,9,24,13,11,13,0,4,0,6,0,7,1,77,13,0,0,2.343,2 5 1 5 4 5 1 7,2 5 1 5 4 5 1 7
axis_2,5670,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,1.953,1 1 1 1 2 4 2 4,1 1 1 1 2 4 2 4
axis_2,4870,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,1.993,2 1 2 1 1 4 1 4,2 1 2 1 1 4 1 4
axis_2,4950,9,24,13,11,13,0,4,0,6,0,7,1,78,13,0,0,2.364,3 1 3 1 3 4 7 4,3 1 3 1 3 4 7 4
axis_2,5032,5,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.243,2 1 3 1 5 4 7 4,2 1 3 1 5 4 7 4
axis_2,870,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.023,1 4 1 4 2 1 2 1,1 4 1 4 2 1 2 1
axis_2,70,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.003,2 4 2 4 1 1 1 1,2 4 2 4 1 1 1 1
axis_2,150,9,24,13,11,13,0,4,0,6,0,7,1,78,13,0,0,2.343,3 4 3 4 3 1 7 1,3 4 3 4 3 1 7 1
axis_2,232,5,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.223,2 4 3 4 5 1 7 1,2 4 3 4 5 1 7 1
axis_2,1113,5,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.453,1 4 1 5 2 3 2 7,1 4 1 5 2 3 2 7
axis_2,313,5,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.234,2 4 2 5 1 3 1 7,2 4 2 5 1 3 1 7
axis_2,393,45,24,17,7,17,0,1,0,7,0,8,1,82,11,0,0,2.574,3 4 3 5 3 3 7 7,3 4 3 5 3 3 7 7
axis_2,475,25,24,16,8,16,0,2,0,6,0,7,1,74,12,0,0,2.474,2 4 3 5 5 3 7 7,2 4 3 5 5 3 7 7
axis_2,1350,9,24,13,11,13,0,4,0,6,0,7,1,78,13,0,0,2.343,1 5 1 5 2 5 2 7,1 5 1 5 2 5 2 7
axis_2,550,9,24,13,11,13,0,4,0,6,0,7,1,78,13,0,0,2.334,2 5 2 5 1 5 1 7,2 5 2 5 1 5 1 7
axis_2,630,81,24,18,6,18,0,0,0,8,0,9,1,90,10,0,0,2.844,3 5 3 5 3 5 7 7,3 5 3 5 3 5 7 7
axis_2,712,45,24,17,7,17,0,1,0,7,0,8,1,82,11,0,0,2.564,2 5 3 5 5 5 7 7,2 5 3 5 5 5 7 7
axis_2,6399,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,1.993,1 1 1 1 2 4 4 4,1 1 1 1 2 4 4 4
axis_2,4879,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,1.963,2 1 4 1 1 4 1 4,2 1 4 1 1 4 1 4
axis_2,4960,5,24,12,12,12,0,5,0,5,0,6,1,71,14,0,0,2.444,2 1 5 1 3 4 7 4,2 1 5 1 3 4 7 4
axis_2,5041,6,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.234,2 1 5 1 5 4 7 4,2 1 5 1 5 4 7 4
axis_2,4959,3,24,10,14,10,0,7,1,4,0,5,1,65,14,0,0,2.194,1 1 4 1 2 4 7 4,1 1 4 1 2 4 7 4
